Index,Recipient Name,State/Territory,Type,Interim Report Status,Interim Report,Recovery Plan Status,Recovery Plan
 ,"County Of Camden, New Jersey",New Jersey,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emD4/1ICouqByuMbykWoXsM_L4a3Nm6qN2fupZwMg2q8SGZk,Submitted,https://home.treasury.gov/system/files/136/Camden-County_2021-Recovery-Plan_SLT-1579.pdf
 ,"Chester County, Pennsylvania",Pennsylvania,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emD5/nuCc2vdxT_0hCtc4SHhYFs9d61TUmgniLiWowzNm.s4,Submitted,https://home.treasury.gov/system/files/136/Chester-County_2021--Recovery-Plan_SLT-1636.pdf
 ,"Delaware County, Pennsylvania",Pennsylvania,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emD6/ljRie4hmS3OGZG4iQX9NzyQhVhYVWET31uFGfb4ZCk0,Submitted,https://home.treasury.gov/system/files/136/Delaware-County_2021-Recovery-Plan_SLT-0751.pdf
 ,"County Of Essex, New Jersey",New Jersey,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001eyn3/1Kwj1KgYsI3p72cYIqLHMRrQuf_yvIU2TS0wR03O0UE,Submitted,https://home.treasury.gov/system/files/136/Essex-County_2021-Recovery-Plan_SLT-0807.pdf
 ,"Fresno County, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emD8/6HKlLMq00IxC_OqRrK5ax0gpbQtrqO9oJXGncw5QYUY,Submitted,https://home.treasury.gov/system/files/136/Fresno-County_2021-Recovery-Plan_SLT-4029.pdf
 ,"County Of Hudson, New Jersey",New Jersey,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emIQ/NhIMCFfPbdlycl1jJ6JpsFrJ3LdqcZxox4q1undn96w,Pending,
 ,"Kern County, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emIR/fMgGRlbs8uk447eZEcRHKtyAxhFl7WotJGFjNdWDXxY,Submitted,https://home.treasury.gov/system/files/136/Kern-County_2021-Recovery-Plan_SLT-0545.pdf
 ,"County Of Los Angeles, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emIS/HF0qnCkA3T41pKW1mHZn0nz56ToZ_RI8cE07_lt7gAQ,Submitted,https://home.treasury.gov/system/files/136/Los-Angeles_2021-Recovery-Plan_SLT-2432.pdf
 ,"County Of Monroe, New York",New York,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emIT/5ily.bWgrSDMmgcJmZXrZO1TnvQW_qO5vhA957p5Y3A,Submitted,https://home.treasury.gov/system/files/136/Monroe-County_2021-Recovery-Plan_SLT-0589.pdf
 ,"County Of Montgomery, Pennsylvania",Pennsylvania,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emIU/4XPvboLWrwb8U84hVJMKyjKAY2XVCpfzKRHS8Bsadt4,Submitted,https://home.treasury.gov/system/files/136/Montgomery-County_2021-Recovery-Plan_SLT-1460.pdf
